Type,Title,Text
TMH - Mắt - RHM,Làm cho trẻ vui khi đánh răng !,"Đánh răng không phải là một công việc nhỏ nhoi nhàm chán. Hãy làm cho nó vui vẻ để trẻ hứng thú với nó.
Bỏ qua việc canh giờ và bật lên bài hát 2 phút ưa thích của trẻ. Hoặc đọc một câu chuyện thiếu nhi với giọng điệu vui nhộn để trẻ giải trí.
Không nên để trẻ bỏ đánh răng bất kể ngày đó là ngày gì. Hãy làm cho nó là một công việc thường ngày trước khi đi ngủ và không nẻn bỏ qua việc đó.
Tạo một biểu đồ giải thưởng và khen tặng khi trẻ thực hiện tốt việc đánh răng. Cho phép trẻ được chọn phần thưởng, như là được lựa chọn nghe một câu chuyện hay nào đó trước khi đi ngủ.
Hãy để cho trẻ được chọn bàn chải ưa thích.
Hãy cùng đánh răng với trẻ."
Tâm Lý,Khuyến khích trẻ chọn bạn tốt,"Tìm bạn tốt thì không dễ, và giữ tình bạn đó có thể thậm chí là khó hơn.
Đây là những lời khuyên cho cha mẹ để truyền cho con mình:
Hãy chỉ ra rằng Bạn nên được kính trọng, giúp ích và tuân thủ nguyên tắc.
Bạn hãy là người bạn tốt, để Bạn có thể là hình mẫu về hành vi cho con của mình.
Thảo luận về những phẩm chất làm nên một người bạn tốt, tập trung vào những giá trị tích cực quan trọng tại gia đình.
Lên kế hoạch hẹn chơi đùa với những trẻ mà Bạn cảm thấy sẽ ảnh hưởng tốt đối với con của Bạn.
Làm việc với một mối quan hệ tốt với con của Bạn, bao gồm trao đổi chân thật và thường xuyên."
Dinh dưỡng,Trẻ em 6 tuổi và lớn hơn nên được tầm soát béo phì.,"Một hướng dẫn mới khẳng định một lần nữa rằng các bác sĩ nên tầm soát béo phì ở trẻ em lớn hơn 6 tuổi và cung cấp cho chúng liệu pháp hành vi để giúp chúng giảm cân nếu cần thiết.
Khuyến cáo dự thảo từ U.S. Preventive Services Task Force (tạm dịch: Đội Đặc nhiệm các dịch vụ dự phòng của Hoa Kỳ) thì cần thiết y như khuyến cáo sau cùng năm 2010, nhưng chỉ rõ thanh thiếu niên để dễ hiểu hơn.
Đội này nói rằng trẻ em và thanh thiếu niên được thấy là béo phì nên được “Can thiệp hành vi tích cực  toàn diện.” Can thiệp như vậy” trải qua ít nhất 26 giờ và có thể bao gồm các phần mà mục tiêu nhắm đến cho cả cha mẹ và đứa trẻ, đưa ra những thông tin về ăn uống có lợi cho sức khỏe và tập luyện an toàn, thảo luận về việc sử dụng kiểm soát tình huống như là hạn chế tiếp cận những thực phẩm hấp dẫn và hạn chế thời gian xem tivi, và bao gồm giám sát hoạt động thể lực.
Khuyến cáo dự thảo được đưa ra cộng đồng cho ý kiến đến ngày 28 tháng 11.
Đội đặc nhiệm là đội độc lập, tình nguyện của các chuyên gia y tế đưa ra những khuyến cáo về những dịch vụ y tế dự phòng như tầm soát, tư vấn và thuốc men."
Dinh dưỡng,Bỏ bữa ăn vặt buổi tối,"Nếu Bạn thấy bản thân Bạn ăn mỗi tối trước khi đi ngủ, có thể đí là dấu hiệu Bạn cần thay đổi thói quen ăn uống.
Sau đây là một số gợi ý để thay đổi:
Lên kế hoạch các bữa ăn lành mạnh đều đặn và các bữa ăn vặt trong ngày để Bạn không bị đói sau khi ăn bữa tối.
Hãy bảo đảm là Bạn ăn bữa điểm tâm và bữa trưa giàu đạm mỗi ngày.
Hãy dùng khoảng 30 gram đạm mỗi bữa ăn, hoặc là 30 gram kết họp giữa bữa ăn và bữa ăn vặt kế tiếp.
Hãy ăn đầy đủ xơ để giúp Bạn cảm thấy no bụng.
Hãy ngủ ít nhất là 7 tiếng mỗi tối.
Hãy tránh ngồi ăn trước tivi hoặc là trước máy tính.
Nếu Bạn muốn ăn vặt sau bữa ăn tối, hãy tự hỏi mình rằng Bạn thật sự đói hay chỉ vì chán mà Bạn muốn ăn thôi."
Dinh dưỡng,Sắp xếp thời gian cho bữa cơm tối của gia đình,"Để toàn gia đình ngồi với nhau có thể là một thách thức, nhưng nó xứng đáng để chúng ta cố gắng:
Sau đây là những lợi ích khi ăn tối cùng gia đình:
Giảm được nguy cơ bị béo phì thời niên thiếu.
Đẩy mạnh thói quen dùng thực phẩm có lợi cho sức khỏe, nó sẽ kéo dài qua tuổi trưởng thành.
Giảm nguy cơ của con Bạn bị rối loạn ăn uống.
Cải thiện sức khỏe cảm xúc và xã hội."
Ngoại Khoa,Để giúp Bạn an toàn khi đi xe máy,"Những trang thiết bị phù hợp, tuân thủ luật giao thông và một số kỹ thuật bảo vệ có thể đi cùng để bảo vệ Bạn trong lúc Bạn đang đi xe máy.
Sau đây là những lời khuyên:
Hãy chọn lựa chiếc xe máy phù hợp nhất với Bạn và có hệ thống thắng chống trượt.
Hãy bảo đảm rằng đèn pha luôn luôn bật.
Hãy học một khóa lái xe an toàn ngay cả nếu khi Bạn là một người chạy xe có kinh nghiệm.
Tránh dùng bia, rượu.
Cẩn thận với những vũng bùn, hố sâu  và những vật trên đường, và kỹ thuật bảo vệ đặc biệt tại những chỗ đường giao cất nhau.
Hãy tránh chạy quá tốc độ.
Hãy là một người lái xe lễ phép, lịch sự .
Hãy đeo kính bảo hộ hoặc tấm che mặt, quần áo phản quang và giày chắc chắn để kéo dài lên mắt cá chân."
Tâm Lý,Nên cởi mở với Bác sĩ của Bạn,"Bạn nên luôn luôn chia sẻ với Bác sĩ của Bạn những thông tin về:
Bất kỳ tình trạng sức khỏe nào hơn là một vấn đề đang được điều trị.
Chế độ dinh dưỡng của Bạn về thuốc, thảo dược hoặc là thuốc bổ.
Về dị ứng với bất kỳ thuốc, thực phẩm hoặc chất gì.
Các vấn đề khi sử dụng bất kỳ thuốc gì.
Nếu Bạn mới mang thai, hoặc đã mang thai hoặc dự định sẽ mang thai hoặc đang cho con bú.
Nếu Bạn đang theo một chế độ đặc biệt nào đó về dinh dưỡng, như là ít đường hoặc ít muối."
Hướng dẫn chăm sóc gia đình,Tại sao  Bạn cần biết tiền sử sức khỏe gia đình ?,"Bác sĩ của Bạn có thể hỏi bạn về tiền sử sức khỏe của gia đình Bạn, nhưng Bạn không hiểu tại sao lại hỏi như vậy?
Tiền sử sức khỏe gia đình, nối liền ít nhất qua 3 thế hệ, có thể:
Giúp để xác định nguy cơ của Bạn về tình trạng sức khỏe, như ung thư, tiểu đường hoặc là  bệnh tim mạch.
Nguy cơ của Bạn bị bệnh mạn tính cao hơn nếu các thành viên trong gia đình bị bệnh đó.
Bạn không thể tác động đến tiền sử sức khỏe của gia đình bạn, nhưng Bạn có thể tác động đến sức khỏe của riêng Bạn bằng việc không hút thuốc, tập thể dục và ăn các thực phẩm tốt cho sức khỏe."
TMH - Mắt - RHM,Hãy đặc biệt cẩn thận với dung dịch oxy già khi dùng trong kính sát tròng,"Theo FDA- nếu Bạn sử dụng dung dịch oxy già (hydrogen peroxit), Bạn cần phải tuân thủ theo các bước để được an toàn.
Trước khi chọn chất rửa cho kính sát tròng, hãy bàn với bác sĩ của Bạn về chất rửa tốt nhất và phương pháp làm sạch tốt nhất cho kính sát tròng của Bạn. Không bao giờ thay đổi hệ thống chăm sóc kính sát tròng của Bạn mà chưa trao đổi, tư vấn với bác sĩ của Bạn.
Trước khi sử dụng dung dịch tẩy rửa mới, hãy đọc tất cả các hướng dẫn trên hộp và trên chai và tuân thủ chúng nghiêm ngặt. Nếu Bạn có thắc mắc gì, hãy liên hẹ với bác sĩ mắt của Bạn.
Không bao giờ dùng chung dung dịch có thứa hydrogen peroxit (oxy già). Những thứ khác có thể làm bối rối Bạn với nhiều mục đích và không tuân thủ theo hướng dẫn sử dụng, điều này có thể đưa đến hư hại mắt. Dung dịch oxy già đựng trong chai đỏ để giúp bạn tránh nhầm lẫn.
Cục Quản lý thuốc và thực phẩm của Hoa Kỳ(FDA) nói rằng dung dịch oxy già không chứa chất bảo quản. Chúng có thể là lựa chọn tốt nhất cho người bị dị ứng với các thành phần của dung dịch có nhiều công dụng.
Luôn luôn sử dụng chất trung tính đặc biệt  đựng trong mỗi chai dung dịch mới. Sản phẩm này thay đổi oxy già thành nước và oxy. Không làm trung tính dung dịch này, bạn sẽ bị bỏng, nhức và khó chịu khi Bạn đặt kình vào mắt của Bạn. Đôi khi, trường hợp kính sát tròng chứa chất trung tính. Nếu không,  Bạn cần phải thêm một viên thuốc đặc biệt để làm trung hòa dung dịch.
Kính nên để trong dung dịch ít nhất 6 giờ để bảo đảm quá trình trung tính hoàn tất.
FDA khuyến cáo :không bao giờ rửa kính sát tròng với dung dịch oxy già. Và không bao giờ nhỏ dung dịch này trực tiếp vào mắt."
TMH - Mắt - RHM,Con của Bạn có cần đeo kính ?,"Một chuyên gia về mắt đã nói rằng gần 80% những gì trẻ học ở trường trong 12 năm đầu đời là qua mắt của chúng. Bảng kiểm những gì cần cho con Bạn khi vào năm học mới nên bao gồm thị lực con Bạn có ổn không?
Kính có thể quan trong nhất cần  cho trẻ quay lại trường đối với nhiều trẻ trong năm nay.
Vấn đề thị lực là vấn đề khiếm khuyết phổ biến đứng hàng thứ tư ở trẻ em. Nhưng thường không được phát hiện.
Thị lực thì phức tạp và các thành viên cần phải chú ý mới đánh giá được. Trẻ em với một mắt bình thường có thể có thể là thấy rõ trong khi thực tế là không phải vậy. Không nhìn rõ 2 mắt có thể gây nên nhận thức sâu kém và, nếu không được điều trị, có thể kéo dài suốt đời và gây nên hạn chế trong lựa chọn nghề nghiệp.
Hãy để ý hành vi của đứa trẻ để tìm ra dấu hiệu cho thấy trẻ không nhìn rõ nếu có.
Nếu con Bạn nheo mắt xoay hoặc nghiêng đầu  khi nhìn vào vật gì đó, nhìn với 1 bên mắt nhắm lại, hoặc thay đổi tư thế để nhìn,  thì có khả năng là trẻ đã có vấn đề về thị lực.
Một dấu hiệu khác: đứa trẻ mất hứng thú với các hoạt động.
Trẻ em không than phiền về nhìn mờ, không rõ những sẽ nhanh chóng mất hứng thú bởi vì hoạt động thị lực khó khăn.
Thay đổi hành vi ở trường hoặc thay đổi điểm số cũng là dấu hiệu của vấn đề về thị lực.
Giáo viên là một nguồn tin cậy và có thể thảo luận với phụ huynh để giúp đỡ quyết định xem liệu rằng hành vi của trẻ tại trường hoặc sự khó khăn đạt điểm có thể là đáp ứng của vấn đề về thị lực."
Tiêu hóa,Tìm hiểu về Salmonella,"Vi khuẩn Salmonella là nguồn phổ biến của bệnh do thực phẩm, nhưng có một số điều Bạn có thể làm để bảo vệ mình và những người thân yêu.
Không bao giờ ăn trứng sống hoặc là chưa nấu chin, trứng như vậy có thể là nơi ẩn náu của Salmonella và các vi khuẩn khác.
Thực phẩm thường không để đông thời gian dài trong suốt mùa hè, làm thực phẩm bị ngộ độc thường hơn khi thời tiết ấm hơn.
Nhiễm Salmonella rất nguy hiểm cho nhiều người, bao gồm những người có bệnh mạn tính hoặc hệ miễn dịch suy yếu.
Salmonella có thể tác động nhiều thực phẩm, như thịt, những búp, thực phẩm chế biến, trứng, trái cây và rau.
Bị nhiễm Salmonella có thể kéo dài một vài ngày và gây tiêu chảy, đau quặn bụng
và sốt.
Nhiễm Salmonella towng đối là phổ biến, nhưng hầu hết người ta không có điều trị, vì vậy, các nhiễm trùng thường không được báo cáo."
An toàn cho trẻ,Đừng quên đội nón bảo hiểm khi đi xe đạp,"Theo các nhà nghiên cứu tại Cleveland Clinic thì có  khoảng 800 người đi xe đạp đã bị chết và hơn 500 000 người  vào cấp cứu mỡi năm ở Hoa Kỳ. Khoảng 2/3 tử vong và 1/3 bị chấn thương liên quan đến đầu và mặt
Khi mua nón bảo hiểm xe đạp, tìm kiếm sản phẩm an toàn, để bảo đảm rằng nó sẽ bảo vệ được ở mức độ cao.
Chiếc nón bảo hiểm nên đẹp, bạn thấy thích với nó nhưng cũng nên dễ chịu khi đã cài khóa, và không thể di chuyển lên , xuống hoặc qua 1 bên. Nó nên vừa vặn với cái đầu- không nghiêng ra sau - và tới thấp nơi trán, khoảng chiều rộng 2 ngón tay trên chân mày.
Có nhiều kích cỡ khác nhau và miếng dán bên trong cũng đa dạng vừa vặn với đầu của người đi xe đạp. nếu Bạn có vấn đề về sự phù hợp của chiếc nón, hãy yêu cầu người bán hàng có kinh nghiệm để giúp đõ Bạn.
Các nhà nghiên cứu khuyên rằng người lớn nên làm gương cho trẻ em  và đội nón bảo hiểm khi đi xe đạp. Hãy để trẻ em đội nón bảo hiểm lúc tuổi còn nhỏ, như là khi chúng bắt đầu đi xe đạp. Miễn là nó vừa vặn, còn lại thì hãy để cho trẻ chọn nón bảo hiểm cho mình. Có nhiều khả năng chúng nó sẽ đội nón .
Nón bảo hiểm xe đạp cũng nên đội khi trượt patin, hoặc trên đường băng patin, ngoại trừ sử dụng ván trượt khi thực hiện  những việc như vậy nên cân nhắc các nón bảo hiểm được thiết kế cho các hoạt động như vậy. Những nón bảo hiểm này che phủ nhiều khu vực hon, đặc biệt là sau ót."
An toàn cho trẻ,Giữ cho con Bạn năng động và không bị chấn thương !,"Để bắt đầu, hãy tìm một chương trình thể dục hoặc thể thao phù hợp với khả năng và sở thích của con Bạn.
Trẻ em tham gia các khóa thể thao được tổ chức ở những nơi được duy trì thích hợp. Hãy bảo đảm rằng các huấn luyện viên được huấn luyện sơ cứu và hồi sức tim phổi, và có kế hoạch để xử lý trong các tình huống cấp cứu. Các huấn luyện viên cũng nên có kinh nghiệm trong việc sử dụng các thiết bị và tuân thủ những quy định về sử dụng thiết bị.
Cha mẹ nên biết rằng một số chương trình thế thao được thiết kế bao bồm các nhân viên người lớn đã có chứng nhận huấn luyện thể thao, họ biết làm sao để phòng ngừa, nhận biết được và thực hiện chăm sóc ngay tức thì khi có chấn thương thể thao.
Trẻ em nên luôn luôn sử dụng dụng cụ an toàn thích hợp cho thể thao của chúng. Chúng cũng nên biết và tuân thủ các quy ước an toàn.
Trước và sau bài tập, nên làm ấm lên và làm mát lại.
Trẻ nên có nước hoặc thức uống thể thao, và nên uống thường xuyên để giữ nước đầy đủ.
Nên sử dụng kem chống nắng và nón khi có thể để làm giảm nguy cơ bị cháy nắng.
Nếu con Bạn bị thương mô mềm (như là bong gân hay là bị căng cơ) hoặc là tổn thương xương, điều trị tức thời tốt nhất là nghỉ ngơi, đá lạnh, băng ép và nâng cao (RICE- Rest, Ice, Compression và Evalation). Điều trị y tế chuyên nghiệp cần thiết đối với các chấn thương nghiêm trọng như gãy xương, trật khớp, sưng kéo dài hoặc đau nhiều và kéo dài.
Theo các chuyên gia sức khỏe quốc gia thì mặc dù có nguy cơ bị chấn thương, nhưng thể dục và thể thao là quan trọng đối với trẻ em. Hoạt động thể lực làm giảm nguy cơ béo phì và tiểu đường, giáp cải thiện kỹ năng xã hội và cảm nhận của con người, và giúp trẻ học kỹ năng đội nhóm.
Theo Viện Sức khỏe quốc gia thì có hơn 38 triệu trẻ em và thanh thiếu niên Hoa Kỳ tham gia vào các hoạt động thể thao hàng năm, và nhiều hơn số này tham gia các hoạt động giải trí không chính thức."
Bệnh Truyền Nhiễm,Phỏng vấn chuyên đề bệnh sốt xuất huyết với BS Nguyễn Đình Qui,"Kính thưa Quý phụ huynh, với thời tiết mưa nắng thất thường như hiện nay, tạo điều kiện thuận lợi cho muỗi sinh sản và phát triển. Muỗi là nguyên nhân của một số bệnh truyền nhiễm như sốt xuất huyết dengue, bệnh do virus Zika, Viêm não nhật bản, … Để giúp cho ba mẹ có những kiến thức cơ bản nhất trong việc phòng ngừa các bệnh lây truyền do muỗi. Hôm nay, chuyên mục giáo dục sức khỏe trên website bệnh viện Nhi đồng 2
www.benhviennhi.org.vn
có cuộc trao đổi trực tiếp với BS. Nguyễn Đình Qui – Hiện là BS điều trị tại khoa Nhiễm bệnh viện, những kiến thức về nhận biết và phòng chống bệnh sốt xuất huyết dengue.
ThS.Linh
:  Thưa bác sĩ, được biết muỗi là nguyên nhân gây bệnh sốt xuất huyết denge và bệnh này thường xảy ra vào mùa mưa , vậy Bác sĩ có giải thích rõ hơn những loại muỗi nào mà nó thường gây ra bệnh này và những triệu chứng thường thấy ở bệnh này là thế nào ạ?
BS. Qui
: Mến chào Linh và Quý phụ huynh. Sốt xuất huyết denge nó lây ra do qua trung gian là muỗi vằn
Ades aegypty.
Muỗi này thường nó ở các khu vực có ao tù nước đọng , do vậy vào mùa mưa ta sẽ thấy bệnh nó gia tăng lên một các đột biến .
Các triệu chứng thường gặp trên bệnh này là bệnh nhân thường sốt cao đột ngột trên 38.5 độ C  kéo dài 2-7 ngày , sốt khó hạ, bệnh nhân thỉnh thoảng sẽ có đau đầu dữ dội ở vùng trán, đau ở vùng hóc mắt , có thể có những biểu hiện của vùng xuất huyết : chấm xuất huyết dưới da, có thê có chảy máu cam , chảy máu chân răng, các vết bầm khi tiêm chích , đôi khi nặng hơn có thể nôn ra máu hoặc đi cầu phân đen.
Các dấu hiệu nặng hơn của bệnh sốt xuất huyết denge là bệnh nhân có thể đau bụng , buồn nôn , tay chân lạnh, vật vã .
ThS Linh
: Khi trẻ mắc bệnh , phụ huynh cần chăm sóc trẻ như thế nào?
BS Qui
: Đối với những trường hợp nhẹ thì bệnh nhân có thể điều trị tại nhà:
Trẻ cần được nghĩ ngơi
Uống nhiều nước, dung dịch oresol, nước trái cây
Hoặc ăn uống nhẹ như là chào súp hoặc là sữa .
Khi trẻ có sốt thì hạ sốt bằng paracetamol, tránh sử dụng thuốc hạ sốt  ibuprofen có thể gây xuất huyết tiêu hóa nặng hơn.
Lau mát cho trẻ khi sốt cao .
Đặc biệt là phụ huynh phải lưu ý theo dõi những dấu hiệu cảnh báo : Sốt li bì, bứt rứt, vật vã, lạnh tay chân, nôn ói nhiều thì cần đưa ngay đến bệnh viện để nhân viên Y tế đánh giá và cần thiết phải nhập viện  theo dõi.
ThS.Linh
: Xin Bác sĩ cho biết cách phòng ngừa bệnh đồng thời cách phòng chống lây lan ra cộng đồng ?
BS Qui
: Hiện tại chúng ta chưa có vaccine phòng ngừa bệnh sốt xuất huyết nên phòng ngừa chủ yếu là tiêu diệt con đường lây lan thông qua muỗi. Các biện pháp thì các Quý phụ huynh cũng đã biết là phải loại bỏ nơi sinh sản của muỗi, phải diệt lăng quăng bằng cách là đậy kín các chum, khạp chứa nước, tránh cho muỗi đẻ trứng và thả cá vào các vật dụng chứa nước ở trong nhà cũng như là vệ sinh vật dụng trong nhà để cho tránh hiện tượng tù đọng nước lại và thu gom các vật dụng phế thải xung quanh nhà, phát quang bụi rậm .
Để tránh bị muỗi đốt đơn giản hơn là mặt  quần áo tay dài, ngủ mùng cả ngày và đêm và có thể diệt muỗi bằng các hóa chất đang có bán trên thị trường .
ThS.Linh
: Chân thành cám ơn Bác sĩ đã tham gia chương trình."
Da Liễu,Chàm ảnh hưởng nhiều hơn là chỉ ở sâu dưới da.,"Người phải đối mặt với tình trạng ngứa da được biết đến là chàm cũng có thể phải đối mặt với những tình trạng về sức khỏe khác bao gồm bệnh tim mạch.
Tiến sĩ Jonathan Silverberg  Phó Giáo sư ở Northwestern University Feinberg School of Medicine  ở Chicago.nói trong bản tin của Viện Hàn lâm Da liễu Hoa Kỳ rằng chàm, gây ra những mảng da đỏ, khô và ngứa khủng khiếp, ước tính ảnh hưởng khoảng ¼ trẻ em ở Hoa Kỳ, và khoảng 7 triệu người lớn.
Mặc dầu nó ảnh hưởng da, chàm không chỉ sâu trong da. Bệnh này cũng ảnh hưởng nghiêm trọng đến chất lượng sống của bệnh nhân và toàn bộ sức khỏe, cả thực thể và tâm thần.
Chàm có liên quan với việc tăng nguy cơ về các vấn đề sức khỏe khác như suyễn, sốt, dị ứng thức ăn, béo phì và bệnh tim mạch.
Lý do của vấn đề này thì chưa rõ. Nhưng sự liên kết có thể bị chàm- liên quan đến viêm ảnh hưởng toàn bộ cơ thể. hoặc ảnh hưởng không tốt của các triệu chứng của chàm đối với giấc ngủ và những thói quen sức khỏe có thể là có.
Người bị chàm cũng có nguy cơ cao bị nhiễm trùng da và những nhiễm trùng khác. Và việc bị ngứa khủng khiếp thường xuyên của chàm và tác động của nó lên biểu hiện của da có thể góp phần chon guy cơ lớn hơn cho sức khỏe tâm thần như là lo âu và trầm cảm.
Kiểm soát sự quá phát của các triệu chứng của chàm có thể giúp làm giảm nguy cơ các vấn đề như giấc ngu bị gián đoạn, nhưng bệnh tim và những tình trạng khác có thể phát sinh do ảnh hưởng kéo dài của chàm lên cơ thể.
Đó là tại sao quan trọng để điều trị không chỉ cải thiện các triệu chứng trong thời gian ngắn, mà còn quản lý chàm về lâu dài."
Da Liễu,Điều trị vảy nến có thể giảm nguy cơ bị những bệnh khác.,"Tiến sĩ Jashin Wu,  giám đốc nghiên cứu về da tại Kaiser Permanente Los Angeles Medical Center nói có khoảng 7,5 triệu người ở Hoa Kỳ có bệnh mạn tính về da.Ảnh hưởng viêm của vảy nến có thể ảnh hưởng đến toàn bộ cơ thể.
Ông nói trong bản tin của Viện Hàn lâm Da Hoa Kỳ rằng” người bị bệnh vảy nến, đặc biệt là những người bị nặng hơn, thì bị gia tăng nguy cơ bị nhiều dạng vấn đề sức khỏe khác, bao gồm béo phì, tiểu đường, cao huyết áp, cholesterol cao, đột quỵ và đau tim.”
Đặc trưng của bệnh vảy nến là đỏ, có vảy phủ lên da, hoặc là dát, bị những vảy trắng- bạc bao phủ. Nó cũng đặc trưng qua việc bị ngứa, rát hoặc là đau nơi da. Vảy nến thì không lây.
Những bệnh nhân bị bệnh vảy nến ngay cả ở thể nhẹ, cũng cần nhận thức tình trạng ảnh hưởng thế nào đến sức khỏe chung của họ.
Điều trị viêm da ở bệnh nhân bị vảy nến có thể cũng làm giảm viêm ở những vùng khác của cơ thể và giảm  nguy cơ bị bệnh tim.
Tất cả bệnh nhân bị vảy nến nên điều trị bệnh da của mình, duy trì cần nặng có lợi cho sức khỏe và nói với bác sĩ về tầm soát bệnh tim mạch.
Quản lý bệnh vảy nến của Bạn không chỉ có nghĩa là cải thiện da của Bạn- nó cũng là chăm sóc cho toàn bộ sức khỏe của Bạn."
Tim Mạch,Tập thể dục khi đang xem tivi,"Bạn có thể kết hợp tập thể dục trong hoạt động thường ngày của Bạn, thậm chí khi Bạn đang xem tivi.
Sau đây là một số gợi ý:
Cất cái điều khiển từ xa đi (remote) và hãy đứng lên để chuyển kênh (chuyển đài).
Hãy tranh thủ lúc quảng cáo để lên xuống cầu thang hoặc là đi chung quanh phòng.
Sử dụng dụng cụ tập thể dục đàn hồi để tập thể dục.
Mua máy chạy bộ hoặc đạp tại chỗ để tập trong lúc xưm tivi.
Ủi quần áo trong lúc xem.
Rời cái ghế và ngồi trên quả bóng ổn định."
Da Liễu,Vài cách đơn giản để bảo vệ mình khi đi bơi,"Tiến sĩ William Schaffner, trưởng của Department of Preventive Medicine tại Vanderbilt University Medical Center, Nashville nói “vấn đề phổ biến nhất mà người đi bơi gặp phải là nhiễm trùng đường ruột, nếu không là vi khuẩn thì là virus. Các triệu chứng gồm tiêu chảy, buồn nôn, nôn và đôi khi bị sốt. Những triệu chứng này xuất hiện vài giờ sau khi bị nhiễm trùng, vì vậy, mọi người thường không nhận ra họ đã bị nhiễm trong lúc bơi.”
Có một số cách để giảm nguy cơ bị nhiễm như vậy.
Hãy kiểm tra hồ bơi trước khi Bạn hoặc con của Bạn xuống hồ. Hồ có trong và nước có sạch không?
Trước khi xuống bơi, hãy tắm. Bất kỳ ai có vấn đề về dạ dày trong 24 giờ trước đó nên ở trên và không nên xuống hồ bơi.
Mỗi 30-60 phút, cha mẹ nên kiểm tra tả của con mình xem có dơ không (thậm chí là tả bơi bằng plastic) hoặc là đồ bơi của chúng. Thay tả xa bên ngoài hồ bơi và rửa tay của Bạn sau khi thay tả.
Nếu đứa nhỏ bị vấn đề/ tai nạn ở hồ bơi công cộng, hãy báo cho nhân viên biết để họ tiến hành các bước làm sạch nước và làm cho nó an toàn lại.
Nước tiểu trong hồ bơi không phải là quan ngại chính, bởi vì nước tiểu thì vô khuẩn, loãng nhanh chóng và ít gây nên nguy cơ về sức khỏe  đối với những người đi bơi khác.
William Schaffner kết luận :”Không có gì làm nản chí của bất kỳ ai đối với hồ bơi. Với vài phòng ngừa đơn giản, thì việc chơi trong nước có thể an toàn và thích thú với bất kỳ ai.”"
Hướng dẫn chăm sóc gia đình,Hướng dẫn chăm sóc trẻ thiếu men G6PD,"Thiếu men G6PD (Glucose-6-phosphat dehydrogenase) là một bệnh thiếu men thường gặp ở người. Trên thế giới hiện nay có khoảng 400 triệu người mắc phải, vùng Nam-Á là một trong những vùng có tỉ lệ mắc bệnh tương đối cao 3-5%. Ngoài ra, người ta còn đặt tên cho bệnh này là ""Favism"" bởi vì các cá thể thiếu men G6PD bị dị ứng với loại đậu Fava.
Thiếu men G6PD là một bệnh di truyền liên kết với giới tính (nhiễm sắc thể X) nên nam giới có khả năng mắc bệnh cao hơn nữ giới.
Điều gì sẽ xảy ra khi con bạn bị thiếu men G6PD ? Xin Quý độc giả xem thêm thông tin hướng dẫn chăm sóc trẻ thiếu men G6PD đính kèm sau đây:
Tài liệu hướng dẫn chăm sóc trẻ thiếu men G6PD
Danh mục các thuốc cần cẩn trọng khi sử dụng cho trẻ thiếu men G6PD"
TMH - Mắt - RHM,Hãy dùng bàn chải sạch !,"Vi khuẩn và vi sinh vật có thể làm thành một ổ ở trong bàn chải đánh rang của Bạn, vì vậy thật là quan trọng để thực hiện các bước giữ cho chúng sạch hơn.
Sau đây là một số lời khuyên:
Thay bàn chải đánh rang của Bạn t hường xuyên.
Trước và sau khi chải rang, rửa bàn chải trong dung dịch súc miệng kháng khuẩn.
Nếu Bạn thích một cái bàn chải vệ sinh hơn được quảng cáo, hãy bảo đảm rằng nó được được FDA (Cục  Quản lý thuốc và thực phẩm của Hoa Kỳ) phê chuẩn"
Tim Mạch,Kiểm tra huyết áp cao,"Cao huyết áp rất phổ biến, nhưng thường không được chẩn đoán.
Sau đây là một số gợi ý và giải thích về cao huyết áp:
Cao huyết áp không chỉ là vấn đề với người lớn, nó đang trở nên phổ biến hơn ở người trẻ tuổi.
Bởi vì tình trạng này hiếm khi gây ra triệu chứng, nên Bạn có thể bị cao huyết áp thậm chí khi Bạn cảm thấy bình thường.
Một số phụ nữ có nguy cơ cao hơn bị cao huyết áp và biến chứng của cao huyết áp.
Cao huyết áp làm tăng nguy cơ bị đột quỵ và cơn đau tim
Các nghiên cứu cho thấy cao huyết áp có thể làm tăng nguy cơ bị mất trí nhớ sau này."
TMH - Mắt - RHM,Phòng ngừa viêm tai cho trẻ do đi bơi,"Tiến sĩ Nina Shapiro, giám đôc của pediatric otolaryngology tại  Mattel Children's Hospital of the University of California, Los Angeles nói viêm tai ngoài là nhiễm vi khuẩn hoặc nấm do bị nước vào ống tai. Dấu hiệu gợi ý là sưng ống tai và và một số ống dẫn hoặc là chảy dịch.
Những dạng khác của viêm tại gây nên đau trong tai, nhưng viêm tai ngoài gây nên đau khi bên ngoài tai bị chạm vào.
Viêm tai ngoài có thể phòng ngừa được bằng cách dùng miếng lau hoặc khăn lau khô tai sau khi bơi, nếu có sẵn máy sấy tóc thì để số nhỏ và dặt cách tai khoảng 30 cm để làm khô tai.
Không bao giờ dùng tăm bông để làm sạch hoặc là làm khô ống tai bởi vì như vậy thì có thể làm tổn thương màng nhĩ.
Có thể dùng thuốc nhỏ tai không cần kê đơn để phòng ngừa viêm tai ngoài, nhưng không nên dùng cho trẻ em có ống tai, màng nhĩ bị thủng hoặc là đã có mổ tai.
Nếu trẻ bị viêm tai, các bác sĩ sẽ cho kê đơn thuốc tê, kháng sinh hoặc thuốc nhỏ tai kháng nấm."
